pl_name,st_rad,pl_rade,pl_orbsmax
"Kepler-467 b",0.930000,1.69000000,0.1670000000
"HATS-24 b",1.194000,17.37395000,0.0257600000
"Kepler-325 b",0.982000,2.94000000,0.0517000000
"Kepler-1521 b",0.693000,2.30200000,0.2347600000
"Kepler-558 b",0.797000,2.34000000,0.1760000000
"HAT-P-2 b",1.640000,12.96900000,0.0687800000
"Kepler-747 b",0.779000,5.26000000,0.1916000000
"Kepler-135 c",1.209000,1.07000000,0.1054000000
"Kepler-403 b",1.111000,1.09000000,0.0743000000
"Kepler-149 d",0.940000,4.28000000,0.5642000000
"Kepler-759 b",0.970000,2.40000000,0.2340000000
"Kepler-1365 c",0.921000,0.66000000,0.0558000000
"Kepler-23 d",1.548000,2.28000000,0.1235000000
"Kepler-238 c",0.963000,1.88000000,0.0670000000
"EPIC 211945201 b",1.380000,6.12000000,0.1480000000
"Kepler-149 c",1.580000,2.66000000,0.2750000000
"Kepler-230 c",0.796000,2.13000000,0.3767000000
"Kepler-1619 b",1.429000,1.07700000,0.1541300000
"Kepler-281 d",0.884000,4.30000000,0.5456000000
"Kepler-975 b",0.786000,1.58100000,0.0289800000
"Kepler-62 c",0.653000,0.59000000,0.0904000000
"Kepler-1142 b",0.800000,1.22000000,0.1274000000
"Kepler-698 b",0.983000,3.97000000,0.1255000000
"Kepler-1213 b",1.183000,1.29000000,0.0635000000
"Kepler-1069 b",1.203000,2.02000000,0.1632000000
"Kepler-95 b",1.415000,3.13000000,0.1026000000
"Kepler-501 b",1.216000,4.59000000,0.0627000000
"Kepler-15 b",0.992000,10.76000000,0.0571400000
"Kepler-1793 b",0.765000,2.91000000,0.0786000000
"Kepler-790 b",0.772000,2.14000000,0.1010000000
"Kepler-296 d",0.370000,1.65000000,0.1040000000
"CoRoT-12 b",1.116000,16.14000000,0.0401600000
"Kepler-364 b",1.170000,1.30000000,0.1820000000
"Kepler-292 c",0.915000,1.79000000,0.0457000000
"Kepler-1458 b",0.981000,2.93000000,0.2495000000
"Kepler-172 e",0.970000,3.00000000,0.1990000000
"K2-19 c",0.810000,4.31000000,0.0965000000
"TOI-3464 b",1.560000,13.76462830,0.0515000000
"Kepler-1998 b",0.960000,0.66000000,0.0406600000
"Kepler-1130 c",0.879000,0.66000000,0.0424000000
"TOI-1135 b",1.160000,9.02000000,0.0820000000
"Kepler-246 b",0.811000,2.37000000,0.0520000000
"Kepler-1560 b",0.993000,0.91000000,0.0397000000
"Kepler-285 c",0.846000,1.17300000,0.0640500000
"HATS-1 b",1.038000,14.59411800,0.0444600000
